ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
20,20,0.5,3.0,0.0,1022.0,0.03338320083135724,-2244.0,50
10,10,1.5,2.0,0.0,509.0,0.03305808990818382,-1633.0,50
5,10,0.5,1.0,0.0,1006.0,0.03292934737215159,-2192.0,50
10,20,0.5,3.0,0.0,952.0,0.03270464771422842,-2244.0,50
5,5,1.0,1.0,0.0,394.0,0.03239254876316255,-1230.0,41
30,5,1.0,3.0,0.0,971.0,0.03231779021862416,-2100.0,50
30,20,1.0,3.0,0.0,978.0,0.03222986707139968,-2124.0,50
5,10,1.0,2.0,1.0,32.0,0.03161292277994046,-253.0,1
20,20,2.0,2.0,0.0,191.0,0.03156723676711026,-596.0,12
20,20,2.0,1.0,0.0,191.0,0.03156723676711026,-596.0,12
20,10,0.5,3.0,0.0,968.0,0.031566159657688754,-2300.0,50
20,20,2.0,3.0,0.0,216.0,0.03133744851575252,-786.0,19
20,10,1.5,2.0,1.0,50.0,0.031146899705331337,-354.0,3
10,10,1.5,3.0,0.0,322.0,0.03100780825385306,-873.0,28
30,20,1.5,2.0,0.0,877.0,0.030973311634077048,-2258.0,50
20,5,0.5,3.0,0.0,939.0,0.03072691033762715,-2300.0,50
30,20,1.5,1.0,0.0,870.0,0.030726123074547817,-2258.0,50
10,10,0.5,3.0,0.0,892.0,0.03050207482370411,-2300.0,50
20,10,1.5,2.0,0.0,863.0,0.030434700659023387,-2240.0,45
10,10,1.5,1.0,0.0,451.0,0.03029033463812602,-1649.0,45
20,10,1.5,1.0,0.0,844.0,0.029764693454600838,-2246.0,45
30,10,1.5,2.0,0.0,849.0,0.029749708437322202,-2246.0,47
10,20,1.0,2.0,0.0,869.0,0.029660919304815916,-2222.0,50
30,10,1.5,1.0,0.0,838.0,0.029364266102413952,-2246.0,47
20,20,1.5,3.0,0.0,670.0,0.028715170013538856,-2072.0,50
5,10,1.0,2.0,0.0,421.0,0.02853564601053615,-1590.0,49
20,20,1.5,1.0,0.0,792.0,0.0284080332002535,-2258.0,50
20,20,1.5,2.0,0.0,792.0,0.0284080332002535,-2258.0,50
5,20,1.0,1.0,0.0,337.0,0.028282281034806872,-1286.0,36
5,5,0.5,1.0,0.0,875.0,0.028211163520942602,-2216.0,50
10,5,0.5,3.0,0.0,828.0,0.028187468030038753,-2300.0,50
10,20,1.0,3.0,0.0,559.0,0.027739499600481936,-1932.0,46
30,10,2.0,2.0,0.0,610.0,0.027703978391961266,-2240.0,45
30,10,2.0,1.0,0.0,610.0,0.027703978391961266,-2240.0,45
10,10,1.0,1.0,0.0,811.0,0.027294998919800816,-2246.0,50
30,10,1.0,3.0,0.0,800.0,0.027249721750698164,-2100.0,46
20,20,1.0,3.0,0.0,826.0,0.027012000490751843,-2300.0,50
5,5,0.5,2.0,0.0,762.0,0.02659152424735805,-2300.0,50
10,5,1.0,1.0,0.0,789.0,0.02604301611931772,-2238.0,50
20,5,1.5,2.0,0.0,737.0,0.025993154573202143,-2240.0,47
20,5,1.5,1.0,0.0,737.0,0.025993154573202143,-2240.0,47
10,20,1.5,2.0,0.0,496.0,0.025068057707525463,-1746.0,46
10,20,1.5,1.0,0.0,496.0,0.025068057707525463,-1746.0,46
30,20,2.0,2.0,0.0,385.0,0.024979793401375426,-1286.0,27
20,5,1.5,3.0,0.0,735.0,0.0249763748487939,-2300.0,50
10,10,1.0,3.0,0.0,484.0,0.024926391593941312,-1747.0,47
30,20,2.0,1.0,0.0,378.0,0.024525647491748438,-1286.0,27
20,5,1.0,3.0,0.0,747.0,0.024438174730181606,-2300.0,50
5,20,1.0,2.0,0.0,235.0,0.024234933918778706,-1058.0,28
30,5,1.5,3.0,0.0,717.0,0.024046591668472807,-2300.0,47
10,10,1.0,2.0,0.0,721.0,0.023868649049071367,-2240.0,50
30,20,2.0,3.0,0.0,402.0,0.02384724875691268,-1472.0,32
30,10,2.0,3.0,0.0,540.0,0.023722754000497375,-2300.0,45
30,10,3.0,3.0,0.5,23.0,0.023619565838052938,-216.0,-2
20,10,1.5,3.0,0.0,692.0,0.02359329544715922,-2300.0,50
5,5,0.5,3.0,0.0,165.0,0.023444174213273078,-598.0,13
10,5,1.0,2.0,0.0,721.0,0.023304139197831624,-2240.0,50
5,20,0.5,3.0,0.0,619.0,0.023238896304685456,-2097.0,50
5,10,0.5,3.0,0.0,626.0,0.022943787132258336,-2300.0,50
30,20,1.5,3.0,0.0,669.0,0.022940288610404695,-2300.0,50
